model,class,f1_mean,f1_sd,support
GSMo no pretraining,Potato___Early_blight,0.9933333333333333,0.0057735026918962545,100.0
GSMo no pretraining,Potato___Late_blight,0.9801448119212833,0.008277625139072866,100.0
GSMo no pretraining,Potato___healthy,0.9816057697140272,0.007786391010091242,100.0
GSMo no pretraining,Raspberry___healthy,0.9917405582922824,0.007541344756608528,100.0
GSMo no pretraining,Soybean___healthy,0.991451676759023,0.0015177377323195502,509.0
GSMo no pretraining,Squash___Powdery_mildew,0.9954978974767285,0.003103965683632225,184.0
GSMo no pretraining,Strawberry___Leaf_scorch,0.9969969360631454,0.0026008088126953494,111.0
GSMo no pretraining,Strawberry___healthy,0.9932998324958123,0.007676006189205732,100.0
GSMo no pretraining,Tomato___Bacterial_spot,0.9812107201898385,0.004347823665509862,213.0
GSMo no pretraining,Tomato___Early_blight,0.9602311014871082,0.021543985434864753,100.0
GSMo no pretraining,Tomato___Late_blight,0.9716913764157858,0.004432070873663571,191.0
GSMo no pretraining,Tomato___Leaf_Mold,0.9900330841604373,0.013153520782689622,100.0
GSMo no pretraining,Tomato___Septoria_leaf_spot,0.9803277401392899,0.010139469074707272,178.0
GSMo no pretraining,Tomato___Spider_mites Two-spotted_spider_mite,0.9724251484903279,0.006261693381663903,168.0
GSMo no pretraining,Tomato___Target_Spot,0.9621127664605925,0.015284928496187126,140.0
GSMo no pretraining,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9946780001847344,0.0014410556719055485,535.0
GSMo no pretraining,Tomato___Tomato_mosaic_virus,0.9950082918739636,0.005000020626509593,100.0
GSMo no pretraining,Tomato___healthy,0.9834098426837526,0.009369722109902638,159.0
InceptionV3 38-class,Apple___Apple_scab,0.7496181283870847,0.19000809638404104,100.0
InceptionV3 38-class,Apple___Black_rot,0.7185719594708732,0.1791120847888923,100.0
InceptionV3 38-class,Apple___Cedar_apple_rust,0.9721218843018317,0.027363663739744117,100.0
InceptionV3 38-class,Apple___healthy,0.7736974576627685,0.13031289910758032,165.0
InceptionV3 38-class,Blueberry___healthy,0.8762780279438133,0.05100723612134496,150.0
InceptionV3 38-class,Cherry___Powdery_mildew,0.7908800161867097,0.16577244646662384,105.0
InceptionV3 38-class,Cherry___healthy,0.9658990718748798,0.017067503476780602,100.0
InceptionV3 38-class,Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9071413736834297,0.04742494939537285,100.0
InceptionV3 38-class,Corn___Common_rust,0.6370649917543462,0.4878692571823942,119.0
InceptionV3 38-class,Corn___Northern_Leaf_Blight,0.9185731456771297,0.02656088867275761,100.0
InceptionV3 38-class,Corn___healthy,0.9942897668219558,0.0024567195343529764,116.0
InceptionV3 38-class,Grape___Black_rot,0.8375800612642718,0.1885311499327443,118.0
InceptionV3 38-class,Grape___Esca_(Black_Measles),0.7274192385431423,0.44014181255959073,138.0
InceptionV3 38-class,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9608882897052765,0.02818148567644449,107.0
InceptionV3 38-class,Grape___healthy,0.9900495037128403,0.004950309416384273,100.0
InceptionV3 38-class,Orange___Haunglongbing_(Citrus_greening),0.91548184930998,0.051142924515333366,551.0
InceptionV3 38-class,Peach___Bacterial_spot,0.7715014767635523,0.12785742446138948,230.0
InceptionV3 38-class,Peach___healthy,0.40127605315552595,0.3193045480358738,100.0
InceptionV3 38-class,"Pepper,_bell___Bacterial_spot",0.4702022176783249,0.31331489998816,100.0
InceptionV3 38-class,"Pepper,_bell___healthy",0.8316124642528614,0.13270673597821064,148.0
InceptionV3 38-class,Potato___Early_blight,0.8735541965128614,0.11247843013032183,100.0
InceptionV3 38-class,Potato___Late_blight,0.8743359521137298,0.10722437857428399,100.0
InceptionV3 38-class,Potato___healthy,0.9032845650836174,0.05512617763859366,100.0
InceptionV3 38-class,Raspberry___healthy,0.7531416563674629,0.13171802236165794,100.0
InceptionV3 38-class,Soybean___healthy,0.9837820255880456,0.005725940040192071,509.0
InceptionV3 38-class,Squash___Powdery_mildew,0.9834697910784866,0.024078330653850892,184.0
InceptionV3 38-class,Strawberry___Leaf_scorch,0.5568813473630797,0.11798025932862422,111.0
InceptionV3 38-class,Strawberry___healthy,0.9163632900769568,0.02367902370917724,100.0
InceptionV3 38-class,Tomato___Bacterial_spot,0.6960557300343889,0.14770426189950164,213.0
InceptionV3 38-class,Tomato___Early_blight,0.39961484811022924,0.1356260149599718,100.0
InceptionV3 38-class,Tomato___Late_blight,0.7456935575637612,0.07357976492464896,191.0
InceptionV3 38-class,Tomato___Leaf_Mold,0.5807764877978182,0.08557367034153661,100.0
InceptionV3 38-class,Tomato___Septoria_leaf_spot,0.6123399274540414,0.20075056899077082,178.0
InceptionV3 38-class,Tomato___Spider_mites Two-spotted_spider_mite,0.15904435518219764,0.11819572982192418,168.0
InceptionV3 38-class,Tomato___Target_Spot,0.33700159087422427,0.17903434609835034,140.0
InceptionV3 38-class,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.6206526906263022,0.074947235924223,535.0
InceptionV3 38-class,Tomato___Tomato_mosaic_virus,0.5672830745346363,0.06691782333164388,100.0
InceptionV3 38-class,Tomato___healthy,0.7714589907332813,0.04516710131454909,159.0
InceptionV3 plain multi-output,Apple___Apple_scab,0.7189343381873888,0.30735645687941016,100.0
InceptionV3 plain multi-output,Apple___Black_rot,0.9420650218678427,0.02390796066705231,100.0
InceptionV3 plain multi-output,Apple___Cedar_apple_rust,0.9582064870146954,0.055657881755574366,100.0
InceptionV3 plain multi-output,Apple___healthy,0.8095215672672778,0.04693077611750901,165.0
InceptionV3 plain multi-output,Blueberry___healthy,0.9044976154393166,0.028777648789408604,150.0
InceptionV3 plain multi-output,Cherry___Powdery_mildew,0.9890006706908115,0.011806444507582427,105.0
InceptionV3 plain multi-output,Cherry___healthy,0.9684072249589492,0.024739528987657265,100.0
InceptionV3 plain multi-output,Corn___Cercospora_leaf_spot Gray_leaf_spot,0.9517268079084732,0.02417766237091614,100.0
InceptionV3 plain multi-output,Corn___Common_rust,0.9328007021593806,0.0917109204452043,119.0
InceptionV3 plain multi-output,Corn___Northern_Leaf_Blight,0.9391858472097664,0.021739803110956947,100.0
InceptionV3 plain multi-output,Corn___healthy,0.9547517283900572,0.060310030338879904,116.0
InceptionV3 plain multi-output,Grape___Black_rot,0.9728603350002109,0.015679068078742565,118.0
InceptionV3 plain multi-output,Grape___Esca_(Black_Measles),0.9764639219425902,0.008809026040125323,138.0
InceptionV3 plain multi-output,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9757895521275803,0.022544837232647552,107.0
InceptionV3 plain multi-output,Grape___healthy,0.9917079618409602,0.0028729581467048363,100.0
InceptionV3 plain multi-output,Orange___Haunglongbing_(Citrus_greening),0.968464284837261,0.005889213320144669,551.0
InceptionV3 plain multi-output,Peach___Bacterial_spot,0.9794175042010647,0.011709756804205954,230.0
InceptionV3 plain multi-output,Peach___healthy,0.8334430987330469,0.05928228543725634,100.0
InceptionV3 plain multi-output,"Pepper,_bell___Bacterial_spot",0.874294616746691,0.08535032639450404,100.0
InceptionV3 plain multi-output,"Pepper,_bell___healthy",0.9274318192033343,0.041029677672449714,148.0
InceptionV3 plain multi-output,Potato___Early_blight,0.9085852836646152,0.1280697801543032,100.0
InceptionV3 plain multi-output,Potato___Late_blight,0.9043933708567855,0.10760412284366237,100.0
InceptionV3 plain multi-output,Potato___healthy,0.9677112186818077,0.021515904501526194,100.0
InceptionV3 plain multi-output,Raspberry___healthy,0.9253436234793324,0.07233704679519083,100.0
InceptionV3 plain multi-output,Soybean___healthy,0.9845564210392611,0.0020332307551896647,509.0
InceptionV3 plain multi-output,Squash___Powdery_mildew,0.9936122963295656,0.0068958228048537585,184.0
InceptionV3 plain multi-output,Strawberry___Leaf_scorch,0.9909773418082571,0.0045451932210495965,111.0
